RadiantWin,Hero1,Hero2,Hero3,Hero4,Hero5,Hero6,Hero7,Hero8,Hero9,Hero10
0,21,17,31,10,25,44,112,61,72,121
0,6,84,44,75,2,114,62,98,76,50
0,13,2,123,94,83,113,86,91,72,19
0,129,44,48,11,101,61,62,52,42,76
1,37,101,2,48,62,128,19,8,52,16
1,25,13,99,58,2,50,93,14,129,126
1,1,17,21,61,86,45,22,68,42,128
1,59,29,30,94,123,13,129,5,107,1
1,100,41,74,94,18,13,8,75,63,14
0,47,26,123,10,71,23,104,58,135,48
1,48,114,30,43,14,8,29,120,100,37
0,29,31,51,93,92,8,119,21,96,111
0,105,84,44,104,17,56,18,14,98,27
1,93,57,9,96,52,2,44,26,11,14
0,13,53,9,26,96,108,129,17,27,12
0,86,30,96,47,42,104,101,5,8,61
1,6,62,76,19,26,2,51,46,87,44
1,2,22,42,5,121,48,19,33,26,17
1,15,123,106,112,119,26,19,91,11,27
1,59,104,14,93,121,89,100,48,87,9
1,25,10,105,26,2,38,27,49,8,39
0,8,61,26,87,47,21,2,84,48,68
1,108,42,107,2,121,27,81,135,13,100
1,75,6,123,78,52,97,44,128,46,33
1,47,20,99,45,26,72,61,5,54,25
1,135,48,9,16,74,73,21,97,8,98
1,19,9,70,7,101,129,87,80,95,123
0,14,129,17,32,111,97,57,123,109,9
1,74,87,73,96,93,69,30,54,51,40
1,63,70,51,62,97,135,88,91,2,14
1,99,83,42,64,7,59,135,14,37,44
1,110,45,94,25,129,47,49,74,1,14
0,46,100,120,26,41,86,19,45,83,42
1,123,1,128,2,87,10,81,11,111,31
1,37,40,52,109,80,15,54,62,27,23
1,81,51,112,2,45,26,56,31,44,10
1,93,87,11,119,2,27,105,8,135,74
1,84,33,61,54,135,102,72,98,46,21
0,112,8,99,21,62,104,76,86,123,10
0,27,13,100,40,54,10,20,69,98,86
1,8,50,108,76,19,5,96,75,6,107
1,52,94,135,29,26,121,25,12,98,123
0,17,29,110,15,5,48,79,96,35,107
1,74,48,68,2,26,53,9,42,107,106
1,12,98,51,79,8,100,9,5,108,41
0,86,106,1,96,105,26,42,52,28,61
0,5,41,113,7,74,129,1,37,61,128
1,17,120,4,45,96,74,28,48,88,14
1,128,49,8,83,19,97,80,2,76,88
1,8,26,29,13,83,14,21,70,27,97
0,121,107,76,70,129,128,21,101,54,2
1,86,14,26,109,2,119,48,50,34,129
1,41,96,30,45,83,128,46,18,85,26
0,2,106,37,19,109,30,25,48,61,99
0,46,99,106,79,40,8,25,61,74,59
